x
DCHS2
RRM1
C2CD3
NA
MRPL48
LACC1
KCTD4
COG3
CBY2
LCP1
ESD
HTR2A
ITM2B
RB1
KPNA3
KCNRG
SERPINE3
NEK3
CKAP2
FOXO1
LHFPL6
PROSER1
STOML3
ARHGAP20
CENPJ
ZMYM2
GJA3
GJB6
EEF1AKMT1
LATS2
MRPL57
SACS
C1QTNF9
SHISA2
LNX2
SLC46A3
HSPH1
ZAR1L
SUPT20H
TRPC4
FCHSD2
SERPINH1
KLHL35
UVRAG
TSKU
OMP
CAPN5
INTS4
USP35
GAB2
TENM4
WASL
SYTL2
ANKRD42
DDIAS
PRCP
GRM5
TYR
FOLH1
NAALAD2
TAF1D
C11ORF54
SLC5A7
ENDOD1
MAML2
MMP27
MMP3
DYNC2H1
AASDHPPT
CWF19L2
ALKBH8
EXPH5
DDX10
ENOX1
AKAP11
DGKH
VWA8
SI
WBP4
POL
PCDH9
BORA
PIBF1
ACOD1
FBXL3
MYCBP2
RBM26
SLITRK1
LLGL1
SPRY2
SLITRK5
DCT
TGDS
HS6ST3
OXGR1
GPR183
BIVM
METTL21E
LIG4
TNFSF13B
ING1
RAB20
COL4A2
COL4A1
MYO16
F7
PROZ
PCID2
GRTP1
TMCO3
ATP4B
RTASE
UPF3A
EDAR
PLCG1
GCC2
UXS1
ECRG4
TGFBRAP1
SLC9A4
IL1RL1
CNOT11
MRPL30
MITD1
LIPT1
UNC50
OCA2
FNDC9
RGN
GTPBP6
STAG2
GYG2
ARSD
GPR143
SHROOM2
CLCN4
MID1
GPM6B
FANCB
ACE2
GRPR
REPS2
CDKL5
PPEF1
EIF1AY
SMS
PTCHD1
KLHL15
POLA1
NR0B1
TAB3
DYNLT3
SYTL5
RPGR
NYX
NDP
EFHC2
DIPK2B
TRAPPC10
PDXK
CRYAA
UBASH3A
ABCG1
MX
DSCAM
KCNJ6
RUNX1
KCNE2
CRYZL1
GART
DNAJC28
TMEM50B
IL10RB
CFAP298
HUNK-A
TIAM1
CLDN8
BACH1
RWDD2B
ATP5PF
EURL
RBM11
GPR89
GJA5
BCL9
IGSF3
PTGFRN
DUSP27
POU2F1
RCSD1
DCAF6
EPHA6
STX19
EPHA3
TMPRSS7
TAGLN3
PHLDB2
SH2D1B
NFKBIZ
ZBTB11
TRMT10C
SENP7
TFG
NIT2
CMSS1
TMEM30C
COL8A1
GPR161
TBX19
DPT
BLZF1
CD200R1B
ILDR1
GPR15
CLDND1
GRAMD1C
DRD3
B4GALT3
B4GALT4
TMEM39A
CASQ2
MAB21L3
ATP1A1
PLA1A
POPDC2
GTF2E1
POLQ
METTL16
GDAP2
WDR3
SPAG17
HSFY1
HAO2
KEL
EPHB5
CD163
TMEM139
CASP2
CLCN1
EMG1
ENO2
USP5
P3H3
LPAR5
CNP-2
NCAPD2
FAM162A
CCDC58
MAN1A2
A2ML1
TULP3
ARHGEF5
RAD51AP1
FAR1
MANSC4
CDKN1A
DUSP16
BCL2L14
PPARA
KIAA0930
PHF21B
ARHGAP8
SHISAL1
PARVG
SAMM50
MCAT
PACSIN2
INTS13
RASSF8
GYS2
C3AR1
APOLD1
GPRC5A
FAM234B
EMP1
ATF7IP
GUCY2C
CYGB1
HSPA12B
SOCS1
CYP2D17
NDUFA6
PHETA2
SEPTIN3
CENPM
SNU13
CSDC2
ACO2
ST13
SGSM3
ADSL
GRAP2
CACNA1I
ATF4
CBX7
DNAL4
FAM20C
JOSD1
DMC1
KDELR3
PLA2G6
BAIAP2L2
SLC16A3
SOX10
POLR2F
NOG1
GCAT
LGALS2
CYTH4
KCTD17
MPST
CSF2RB
TXN2
MYH9
RBFOX2
HMGXB4
LARGE1
SYN3
FBXO7
BTBD11
RIC8B
WASHC4
GLT8D2
STAB2
SYCP3
SPIC
KIAA1549
ATP6V0A4
SVOPL
SLC7A11
RAB19
MKRN1
DENND2A
ADCK2
TMEM178B
MTPN
FAM180A
FGD4
ETFBKMT
DENND5A
SINHCAF
OVCH2
ZSCAN2
SLC6A1
SLC6A13
KDM5A
CCDC77
B4GALNT3
NINJ2
RAD52
ERC1
LRTM2
CACNA1C
ADA2
BID
MICAL3
PTPRO
STRAP
SLC15A5
CAPZA3
RECQL
SOX5
ARHGDIB
WDR91
STRA8
SLC23A1
NUP205
UTP20
SLC5A8
NR1H4
UHRF1BP1L
NEDD1
CDK17
LTA4H
PLXNC1
MRPL42
UBE2N
PLEKHG7
BTG1
KERA
GALNT4
ALX1
BBS10
MYF5
GLIPR1
CAPS2
FRS2
CPM
NUP107
MDM1
IL22
CAND1
WIF1
GNS
RPL18A
ATP23
SLC38A4
SCAF11
TWF1
IRAK4
PUS7L
PNPLA8
LRRN3
ZNF277
BMT2
TFEC
ST7
CTTNBP2
KCND2
TSPAN12
WNT16
AASS
ATP6AP1
LMOD2
SPAM1
TSPAN7
SHANK3
NME6
GUCA1A
ZC3HC1
COPG2
FBH1
GDI2
TASOR2
UCN3
COL7A1
LRGUK
EXOC4
PRKCQ
ITIH5
CELF2
PROSER2
UPF2
BEND7
PRPF18
PCLO
MAGI2
RELN
ORC5
RINT1
PIK3CG
PRKAR2B
HBP1
SLC26A3
LAMB4
SLC2A13
TPRKB
GTSE1
TRMU
CELSR1
H2B-V
GCFC2
PTCHD4
OPN5
ADGRF4
TNFRSF21
ADGRF5
PLA2G7
RCAN2
SUPT3H
MMUT
CENPQ
HADHA
HADHB
GULO
SCARA5
ANGPTL7
CENPO
ELP3
FZD3
EXTL3
KIF13B
RP1L1
GATA4
NEIL2
GAL13
TRAM2
EFHC1
IL17F
PKHD1
RHAG
NRBP1
IFT172
ZNF512
FAM228B
WDCP
TDRD15
NT5C1B
RHOB
SDC1
WDR35
MSGN1
GEN1
SMC6
SLC66A3
ODC1
HPCAL1
ITGB1BP1
RNASEH1
TMEM18
ALKAL2
DLGAP2
CLN8
KBTBD11
CSMD1
MCPH1
CILK1
PHF3
FAT4
COL9A1
OGFRL1
COL12A1
IMPG1
MEI4
SH3BGRL2
PGM3
PRSS35
RIPPLY2
CEP162
5HT1E
SLC35A1
MDN1
MANEA
UFL1
KLHL32
USP45
HACE1
RTN4IP1
QRSL1
MTRES1
SCML4
AFG1L
PPIL6
AK9
GTF3C6
DSE
KPNA5
ROS1
ASF1
TBC1D32
PKIB
RNF217
TRMT11
LAMA2
L3MBTL3
SAMD3
MSH5
ALDH8A1
HECA
ADGRG6
HIVEP2
LTV1
SYTL3
TMEM181
ARID1B
TFB1M
TIAM2
IPCEF1
MYCT1
RMND1
LATS1
STX11
MRPL18
SLC22A2
MAP3K4
ERMARD
GNPAT
AGT
EXOC8
RBM34
FMN2
AHCTF1
NDUFAF7
CEBPZ
RRH
GPATCH11
NANP
RMDN2
YIPF4
LTBP1
ABCC10
TJAP1
POLR1C
AARS2
DNAH8
KCNK16
SUPT7L
PLB1
EPAS1
PPM1B
ABCG8
HAAO
PRPH2
INTS7
DTL
PROX1
CENPF
SLC30A10
MIA3
NVL
CNIH4
MCM8
GALM
EIF4A3
ENTPD6
PEX6
RRBP1
MGME1
KAT14
DZANK1
POLR3F
CCT4
SNAP25
BTBD3
TASP1
NRXN1
GTF2A1L
CAPN14
YPEL5
ALK
CLIP4
PCARE
KCNK12
B3GNT2
WDPCP
C1D
PNO1
CNRIP1
PROKR2
BFSP1
ESF1
PACS2
KLHDC3
CRNKL1
RALGAPA2
XRN2
HEBP1
CTNNA2
ZC3H6
GPR75
SPTBN1
RTN4
RPS27A
MTIF2
CCDC88A
PNPT1
