x
DCHS2
HBB
OR52R1
NA
OR51G2
RRM1
NUP98
CHRDL2
UCP3
LACC1
CCDC122
POL
KCTD4
GTF2F2
CBY2
SIAH3
ZC3H13
LCP1
ESD
HTR2A
MED4
ITM2B
LPAR6
CYSLTR2
MLNR
CAB39L
SETDB2
RCBTB1
ARL11
KPNA3
SPRYD7
TRIM13
KCNRG
SERPINE3
DHRS12
TMEM272
ATP7B
ALG11
NEK3
CKAP2
VPS36
THSD1
FGL1
FOXO1
COG6
LHFPL6
PROSER1
NHLRC3
STOML3
FREM2
UFM1
JOCKEY\POL
ZMYM2
GJB6
CRYL1
IL17D
EEF1AKMT1
SKA3
ZDHHC20
MICU2
MIPEP
C1QTNF9
NUP58
SHISA2
RNF6
CDK8
RPL21
LNX2
PDX1
FLT3
PAN3
FLT1
SLC46A3
RTASE
MTUS2
UBL3
KATNAL1
USPL1
ALOX5AP
B3GLCT
FRY
ZAR1L
KL
STARD13
RFC3
NBEA
DCLK1
CCDC169
EXOSC8
SUPT20H
POSTN
TRPC4
RPS3-A
RPS3-B
RPS3
SERPINH1
GDPD5
KLHL35
DGAT2
FAM168A
SLCO2B1
INTS4
UVRAG
WNT11
EMSY
GUCY2F
TSKU
PHF7
ACER3
CAPN5
OMP
MYO7A
PAK1
CLNS1A
RSF1
ALG8
KCTD21
USP35
GAB2
NARS2
TENM4
WASL
EED
PICALM
SYTL2
CCDC89
TMEM126A
ANKRD42
RAB30
DDIAS
ME3
PRSS23
TMEM135
GRM5
TYR
NOX4
CHORDC1
FAT3
MTNR1B
TAF1D
C11ORF54
MED17
VSTM5
TM4SF1
HEPHL1
ANKRD49
MRE11
ENDOD1
SESN3
MTMR2
CCDC82
CNTN5
CFAP300
ITA
MMP27
MMP3
MMP13
DCUN1D5
DYNC2H1
MSANTD4
KBTBD3
AASDHPPT
GUCY1A2
CWF19L2
ALKBH8
ELMOD1
SLC35F2
CUL5
EXPH5
DDX10
ZC3H12C
RDX
PCDH8
ENOX1
DNAJC15
TNFSF11
AKAP11
DGKH
DGKD
VWA8
SI
RGCC
ELF1
CNMD
OLFM4
PCDH17
USP48
PCDH20
PCDH9
KLHL1
BORA
MZT1
PIBF1
DIS3
KLF5
KLF12
LMO7
ACOD1
FBXL3
MYCBP2
OBI1
GAG-POL
SLITRK1
SLITRK6
LLGL1
SPRY2
SLITRK5
DCT
TGDS
GPR180
ABCC4
CLDN10
DZIP1
HS6ST3
OXGR1
MBNL2
IPO5
FARP1
DOCK9
GPR18
GPR183
CLYBL
ZIC5
PCCA
GGACT
TMTC4
NALCN
ITGBL1
FGF14
TPP2
BIVM
ERCC5
METTL21E
SLC10A2
PHIP
EFNB2
LIG4
TNFSF13B
NAXD
RAB20
COL4A2
COL4A1
MYO16
ATP11A
MCF2L
F7
F10
CUL4A
PCID2
LAMP1
GRTP1
TMCO3
ATP4B
RASA3
CHAMP1
SEPTIN10
SH3RF3
EDAR
PLCG1
RANBP2
LIMS4
SULT1C1
SLC5A7
